800 Hilos 1 Core,800 Hilos 2 Cores,800 Hilos 4 Cores,800 Hilos 8 Cores,1000 Hilos 1 Core,1000 Hilos 2 Cores,1000 Hilos 4 Cores,1000 Hilos 8 Cores,1200 Hilos 1 Core,1200 Hilos 2 Cores,1200 Hilos 4 Cores,1200 Hilos 8 Cores,1400 Hilos 1 Core,1400 Hilos 2 Cores,1400 Hilos 4 Cores,1400 Hilos 8 Cores,1600 Hilos 1 Core,1600 Hilos 2 Cores,1600 Hilos 4 Cores,1600 Hilos 8 Cores,1800 Hilos 1 Core,1800 Hilos 2 Cores,1800 Hilos 4 Cores,1800 Hilos 8 Cores,2000 Hilos 1 Core,2000 Hilos 2 Cores,2000 Hilos 4 Cores,2000 Hilos 8 Cores,2200 Hilos 1 Core,2200 Hilos 2 Cores,2200 Hilos 4 Cores,2200 Hilos 8 Cores,2400 Hilos 1 Core,2400 Hilos 2 Cores,2400 Hilos 4 Cores,2400 Hilos 8 Cores,2600 Hilos 1 Core,2600 Hilos 2 Cores,2600 Hilos 4 Cores,2600 Hilos 8 Cores,,2800 Hilos 1 Core,2800 Hilos 2 Cores,2800 Hilos 4 Cores,2800 Hilos 8 Cores,,3000 Hilos 1 Core,3000 Hilos 2 Cores,3000 Hilos 4 Cores,3000 Hilos 8 Cores,,3200 Hilos 1 Core,3200 Hilos 2 Cores,3200 Hilos 4 Cores,3200 Hilos 8 Cores
3856220,2552907,1617625,1133152,7977996,4491439,1883187,1861914,13039209,7233893,3528227,1943177,11812395,6643651,3811676,2039125,15948715,8532772,5308266,3122505,22700847,12263918,7990974,5352536,30354856,16478418,10078160,6729681,44926195,23173349,28637398,15696624,113515628,29116901,16265881,10662150,79543923,37550270,21081945,14525286,,112224496,58998337,36774459,23666575,,146094631,59403103,32504705,23090860,,138017278,71959608,46743993,31415286
4572053,2486794,1604830,649403,7527907,4126891,2740574,1818234,12538051,6932734,3767871,2589080,10232632,7408507,3818513,1812348,16412918,8613564,4942626,3198199,22080133,12107054,7008221,4695531,30974594,16317908,9476007,6834193,41853017,22205850,28730650,15997030,106467231,29133145,16309419,12205832,75145694,36749864,21515150,14145420,,118724726,58971767,36260173,23910382,,150713316,60961032,33105014,23935627,,140646819,72112213,46417399,31935978
4432700,2336543,1572723,1179103,7982334,3755975,2625404,1766354,13328492,7273160,4050603,2231232,9622709,6686660,3851539,2586231,15995992,8796526,5586114,3274047,21256809,12096180,6766973,4904929,29912343,16526918,9919777,7186561,43635373,22369719,28773964,15363308,109263019,28986807,16338667,11121285,74055553,37033098,21671078,13818238,,115073181,59062724,35144575,24504946,,145940097,59424134,32759995,23408855,,136391430,71278065,47165829,32626080
4385251,2171188,1557424,706010,7529964,4343753,2482214,1725671,12925639,6612286,3296502,1938420,10427717,6322611,3893656,2348979,15554950,8853075,5335082,3292961,21752611,11849787,7709669,5222643,31602447,16692602,10915606,6769353,41990873,22753392,28753785,15785708,105634743,28719193,16239726,10679804,74891163,36052719,24395483,14362131,,116033940,58781425,34906883,23765536,,148963588,59385892,33946708,23112321,,136938242,72647111,45683151,31141348
4156149,2018718,1541039,1214578,7977424,3941059,2358827,1687143,13738231,7215166,3565253,2659166,10143987,5815837,3907794,2074028,16172853,9442591,4938764,3289217,22071944,13335230,7393425,4661584,30850592,16822011,10441688,7579867,41203292,22447107,28652706,16038258,106862703,29907799,16550294,11321980,76394431,36220851,29210195,14057444,,115970810,59814000,36336446,23670886,,146847198,59838078,32523380,22426284,,136737109,72542714,45915384,32045190
3881883,1900750,1534551,727341,7552033,4521903,2202210,1641885,13472780,6578464,3767094,2374970,9666858,6901895,3867587,1863395,16203275,9710648,5705499,3298297,27347626,12143025,7134102,4957730,31219190,16769954,10111031,7197409,42176796,22465494,28770048,15779547,106086028,29618918,16519713,10910462,72137296,37809082,29598034,13753735,,115358924,60374637,35789323,23778128,,150579385,59163651,33055405,23064164,,136301914,71877523,46483308,31720541
4670810,2852572,1518031,1234647,7870405,4146155,2061858,1589761,12995236,7054723,3989774,2118051,10337569,6471432,3755366,2632029,16181732,9672688,5324143,3258584,22833267,11676482,6892817,5285508,30614007,16758703,9509161,6540596,42145790,23093749,28977248,16507800,104889952,28294728,17014132,11396662,68946318,39112050,29301848,14456092,,116299371,59906118,35696795,24258544,,151421156,59636036,34375652,22197967,,138679729,71994130,46686348,32610846
4369136,2759978,1481956,745777,8363182,3731442,1922350,1546719,12538439,6576712,3214328,1815143,10584893,6135141,3668955,2396675,16617587,9966275,5011107,3248348,22358192,12415299,7710819,4595355,32971021,17011609,9743890,7148437,41047508,22719696,27514848,15752746,110134069,28873103,16154220,11293247,71341812,38253871,22264982,14107123,,115472603,59662732,36138802,23872336,,146042803,63266122,33034382,22731885,,135822463,70907426,46284961,32185371
4002337,2665337,1505361,1291490,7879833,4335701,2774943,1502535,13138064,6974189,3519814,2465531,10788939,5786062,3720829,2112436,17005788,10125514,4650087,3272084,22773360,12560974,7365142,5117932,30639380,16110622,10056899,6494905,40448457,23886503,29352425,15873244,108563076,28756749,16458508,11024806,77026527,37315333,21264735,13798934,,114892465,59987042,34790236,24256435,,140207744,61137606,32712739,23562419,,140696726,72687922,44739097,32088818
3617186,2559039,1481978,825183,8186857,3928582,2617895,1462374,12753971,6645449,3725520,2116510,11089227,6816884,3589096,1839919,16138945,10075909,5370993,3258758,22433986,12026240,7048503,4456068,32024113,16184440,9649009,7020038,42627989,747068854,29365829,16185456,105126085,28497607,16556910,11413731,74845882,39139001,21362480,14733116,,113020933,59417554,36324351,23366564,,146396213,56594411,34933431,23217980,,139705301,72751410,46745973,30784880
4255431,2442339,1469051,1357935,7501763,4515023,2498385,1416661,13451883,7084191,3956958,1771512,10393220,6851658,3532886,2588810,16063353,9441211,5005213,3250959,22395600,11663569,6773318,4766747,30610138,16017088,10199452,6650910,41938505,25314425,29065959,15656755,109137834,28276244,16702679,11354843,75365491,37497709,21279156,14425723,,115324312,60533631,35048446,23471243,,149510427,56971945,36289457,22610037,,137238210,71997292,47429981,31889318
3851768,2312764,1530820,907576,7951792,4230320,2337697,1392487,13118211,6418723,4276013,2479512,10834739,6805704,3687426,2365720,16286663,10221975,4698754,3260721,22195763,12343405,7484590,5083564,30402662,15931260,10037611,7384893,42181613,25514951,28180374,16167932,106165859,29020277,16824746,10959382,75444218,37601559,21547603,14186460,,114653750,59586144,34857391,23372790,,144608483,56681531,41702003,23379512,,139549727,71840004,46694437,31785062
4475228,2210249,1498192,1433580,8393227,3844000,2184308,1375505,12636519,6716723,3519771,2130522,11451612,6767092,3660193,2134504,16870284,10026559,5299282,3253756,20924889,11751636,7072813,4345375,30610315,17298663,9534477,6679458,41077698,25891945,28278926,15607507,105552566,28111120,16875426,11233584,74780589,39271486,21585819,13913999,,114041438,60186939,35266149,23949137,,145919151,58673555,41849487,24104245,,137977838,71574245,46602068,31644859
4097794,2165884,1498978,961677,7668712,4536616,2058083,1333008,13224177,7154668,3850778,1810441,10879931,6698150,3699949,1981237,16943270,9056997,4839697,3299558,22113594,12119817,6660243,4613265,30929169,16227248,10007760,7336856,40988636,47076198,29013411,16196848,105403812,28996735,17287101,10681937,75241979,38017965,21174706,14618814,,115187179,59176350,34850011,22995608,,143799103,60641506,34591010,22572117,,134831193,70682689,47073129,31465713
3737226,2048824,1497771,1476926,7806994,4181472,1971343,1273489,12999759,6581558,4133591,2468254,11197452,6692662,3723477,2772417,16704536,8787003,5535615,3335870,22239027,11919674,7252386,4988539,31375344,16157327,9193013,6746462,42976547,45689807,27678517,15583606,107944793,31288363,16729998,11073100,74384662,37227101,20841239,14306477,,117043779,61044209,36290431,23090325,,147642393,61873451,33039830,23335523,,134235032,71857122,45572028,34736236
4352529,1922468,1478560,988852,8030476,3844326,2811270,1216039,13018306,7254300,3474232,2120877,10214953,6975291,3708076,2518120,16362072,9962255,5187441,3416132,21935802,12559605,6918421,4359609,32755360,16922372,9662478,7029889,40320532,47541519,29025703,16295273,108805710,31656628,16869393,10584197,73446392,37673381,21779794,13947519,,114113423,59407243,36460629,23256240,,141767222,60163792,33498531,23005266,,141080320,73144106,46559674,31856311
3966443,2825835,1456348,527321,7280633,4465825,2655424,1160623,12897807,6847266,3768923,1797421,9996595,7280709,3601864,2274394,16171899,9615668,4879621,3525296,22918587,12227396,7512208,4629871,31868264,17394275,9997794,6392628,42285639,46467585,28590856,15652460,104358787,28721114,17106255,11020351,73987581,38016984,21841950,14597879,,116476058,60173816,35438621,23233563,,145284820,57618590,33799126,23658241,,140624366,72023640,45983529,32296012
4562737,2697309,1463077,1054640,7828266,4060272,2541954,1106368,13780822,7527095,3988035,2563597,9901943,6057302,3572816,2093515,15625414,8804407,5552926,3685762,22775088,11938890,7174957,5159999,30341291,16308828,9542213,6828920,42907388,47794554,29298183,15859883,107707419,28801489,16324764,10597561,73625687,37611054,22070077,14622067,,117502093,59128479,35214572,23699256,,146389918,56742742,37180828,25209024,,145256348,72350819,46666504,31937113
4181425,2635110,1455953,583534,8023924,3691111,2433753,1048307,13561102,7121689,3225797,2292031,10681408,5739128,3537771,1856356,16461574,8931594,5210832,3687201,22833681,12530747,6983400,4661739,30379002,16973335,10133822,7330032,43172277,48142019,28263174,15805036,111104656,28753256,16391873,10996627,72425549,42349689,21443207,14078648,,114766393,59450286,35415876,23777288,,145492218,57317093,33311672,22784781,,137233639,72517193,45924090,31508463
3790342,2564294,1444041,1108065,7251383,4327924,2312227,992490,13224169,6765731,3466788,2008769,10445013,6472870,3448399,2640025,16016904,9025588,4863384,3676090,23019686,12091923,6646983,4934186,30486265,17216909,9784168,6717845,41826827,46719287,29109962,16030248,104737503,28281191,16981012,10515395,73470973,36911311,21356888,13625366,,114577790,59104935,35561220,23962672,,142924807,58915467,32946464,23343506,,145484788,71551826,46678302,32261958
4207005.433,2408406.833,1542182.6,967347.2667,7858103.533,4170309.967,2349598.633,1358427.933,13178940.83,6946671.5,3793273.867,2199254.9,13956475.27,6355776.033,3716118.5,2257268.833,16371092.97,9231913.833,5151790.367,3495514.2,22279903.4,12180309.5,7196771.8,4821961.3,31209541.5,16705895.37,9894499.233,6933749.233,42053583.9,52754995.6,28733849.4,15831308.07,106877312.2,29516067.27,16586301.77,11080743.43,74852871.77,37726636.37,22453436.1,14197124.53,,111114197.7,59515878.63,35768497.03,23660004,,147344899.2,62141536.9,34239593.03,23077318.23,,139639293.5,71965862.6,46601314.43,32059488.33
